"Project-Roll-Frame","Date","Publisher","Scale","sortOrder","Physical Item Location","Rights","County#1","State#1","1:24000 USGS Topo Quad Name#1#1","1:24000 USGS Topo Quad Name Authority#1#1","1:24000 USGS Topo Quad Name#1#10","1:24000 USGS Topo Quad Name Authority#1#10","1:24000 USGS Topo Quad Name#1#11","1:24000 USGS Topo Quad Name Authority#1#11","1:24000 USGS Topo Quad Name#1#12","1:24000 USGS Topo Quad Name Authority#1#12","1:24000 USGS Topo Quad Name#1#13","1:24000 USGS Topo Quad Name Authority#1#13","1:24000 USGS Topo Quad Name#1#14","1:24000 USGS Topo Quad Name Authority#1#14","1:24000 USGS Topo Quad Name#1#15","1:24000 USGS Topo Quad Name Authority#1#15","1:24000 USGS Topo Quad Name#1#16","1:24000 USGS Topo Quad Name Authority#1#16","1:24000 USGS Topo Quad Name#1#2","1:24000 USGS Topo Quad Name Authority#1#2","1:24000 USGS Topo Quad Name#1#3","1:24000 USGS Topo Quad Name Authority#1#3","1:24000 USGS Topo Quad Name#1#4","1:24000 USGS Topo Quad Name Authority#1#4","1:24000 USGS Topo Quad Name#1#5","1:24000 USGS Topo Quad Name Authority#1#5","1:24000 USGS Topo Quad Name#1#6","1:24000 USGS Topo Quad Name Authority#1#6","1:24000 USGS Topo Quad Name#1#7","1:24000 USGS Topo Quad Name Authority#1#7","1:24000 USGS Topo Quad Name#1#8","1:24000 USGS Topo Quad Name Authority#1#8","1:24000 USGS Topo Quad Name#1#9","1:24000 USGS Topo Quad Name Authority#1#9","Landmark#1#1","Landmark Authority#1#1","County#2","State#2","1:24000 USGS Topo Quad Name#2#1","1:24000 USGS Topo Quad Name Authority#2#1","1:24000 USGS Topo Quad Name#2#2","1:24000 USGS Topo Quad Name Authority#2#2","1:24000 USGS Topo Quad Name#2#3","1:24000 USGS Topo Quad Name Authority#2#3","1:24000 USGS Topo Quad Name#2#4","1:24000 USGS Topo Quad Name Authority#2#4","Landmark#2#1","Landmark Authority#2#1","County#3","State#3","1:24000 USGS Topo Quad Name#3#1","1:24000 USGS Topo Quad Name Authority#3#1","1:24000 USGS Topo Quad Name#3#2","1:24000 USGS Topo Quad Name Authority#3#2","1:24000 USGS Topo Quad Name#3#3","1:24000 USGS Topo Quad Name Authority#3#3","County#4","State#4","1:24000 USGS Topo Quad Name#4#1","1:24000 USGS Topo Quad Name Authority#4#1","Center Point Latitude#1","Center Point Longitude#1","ln_RECORDID","ln_RECORD_BATCHID","lnexp_MEDIAFILENAME","lnexp_PAGEURL","lnexp_IMAGEURL:1","lnexp_IMAGEURL:8"
"BOW 20-91","10/26/1938","United States Forest Service","1:20,000","20091","http://ucblibraries.colorado.edu/map/aerialphotos.htm","Material is believed to be in the public domain. However, other rights and restrictions may apply, such as privacy and publicity rights. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://www.cusys.edu/DigitalLibrary/copyright.html","Larimer","Colorado","Diamond Peak","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Chicken Park","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","40 52 37","-105 31 10","36843","","BOW020091.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~36843~103549","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size1/UCBOULDERCB1-17-NA/1051/BOW020091.jpg","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/JP2K/UCBOULDERCB1-17-NA/1051/BOW020091.jp2&width=5249&height=4258&x=0&y=0&resolution=6&level=0"
"BOW 20-92","10/26/1938","United States Forest Service","1:20,000","20092","http://ucblibraries.colorado.edu/map/aerialphotos.htm","","Larimer","Colorado","Diamond Peak","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Cache la Poudre River","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","40 53 29","-105 31 14","36847","","BOW020092.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~36847~103550","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size1/UCBOULDERCB1-17-NA/1051/BOW020092.jpg","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/JP2K/UCBOULDERCB1-17-NA/1051/BOW020092.jp2&width=5297&height=4234&x=0&y=0&resolution=6&level=0"
"BOW 20-93","10/26/1938","United States Forest Service","1:20,000","20093","http://ucblibraries.colorado.edu/map/aerialphotos.htm","Material is believed to be in the public domain. However, other rights and restrictions may apply, such as privacy and publicity rights. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://www.cusys.edu/DigitalLibrary/copyright.html","Larimer","Colorado","Diamond Peak","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Devils Canyon","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","40 54 13","-105 31 20","36850","","BOW020093.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~36850~103551","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size1/UCBOULDERCB1-17-NA/1051/BOW020093.jpg","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/JP2K/UCBOULDERCB1-17-NA/1051/BOW020093.jp2&width=5273&height=4065&x=0&y=0&resolution=6&level=0"
"BOW 20-94","10/26/1938","United States Forest Service","1:20,000","20094","http://ucblibraries.colorado.edu/map/aerialphotos.htm","","Larimer","Colorado","Diamond Peak","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Devils Canyon","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","40 55 04","-105 31 15","36853","","BOW020094.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~36853~103552","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size1/UCBOULDERCB1-17-NA/1051/BOW020094.jpg","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/JP2K/UCBOULDERCB1-17-NA/1051/BOW020094.jp2&width=5225&height=4210&x=0&y=0&resolution=6&level=0"
"BOW 20-95","10/26/1938","United States Forest Service","1:20,000","20095","http://ucblibraries.colorado.edu/map/aerialphotos.htm","Material is believed to be in the public domain. However, other rights and restrictions may apply, such as privacy and publicity rights. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://www.cusys.edu/DigitalLibrary/copyright.html","Larimer","Colorado","Diamond Peak","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Devils Canyon","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","40 55 45","-105 31 08","36857","","BOW020095.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~36857~103553","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size1/UCBOULDERCB1-17-NA/1051/BOW020095.jpg","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/JP2K/UCBOULDERCB1-17-NA/1051/BOW020095.jp2&width=5466&height=4306&x=0&y=0&resolution=6&level=0"
"BOW 20-96","10/26/1938","United States Forest Service","1:20,000","20096","http://ucblibraries.colorado.edu/map/aerialphotos.htm","","Larimer","Colorado","Diamond Peak","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Trail Creek","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","40 56 30","-105 31 13","36860","","BOW020096.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~36860~103554","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size1/UCBOULDERCB1-17-NA/1051/BOW020096.jpg","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/JP2K/UCBOULDERCB1-17-NA/1051/BOW020096.jp2&width=5442&height=4258&x=0&y=0&resolution=6&level=0"
"BOW 20-97","10/26/1938","United States Forest Service","1:20,000","20097","http://ucblibraries.colorado.edu/map/aerialphotos.htm","","Larimer","Colorado","Diamond Peak","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Cherokee Park Road","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","40 57 17","-105 31 12","36863","","BOW020097.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~36863~103555","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size1/UCBOULDERCB1-17-NA/1051/BOW020097.jpg","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/JP2K/UCBOULDERCB1-17-NA/1051/BOW020097.jp2&width=5466&height=4258&x=0&y=0&resolution=6&level=0"
"BOW 20-98","10/26/1938","United States Forest Service","1:20,000","20098","http://ucblibraries.colorado.edu/map/aerialphotos.htm","","Larimer","Colorado","Diamond Peak","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Cherokee Park Road","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","40 58 04","-105 31 12","36867","","BOW020098.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~36867~103556","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size1/UCBOULDERCB1-17-NA/1051/BOW020098.jpg","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/JP2K/UCBOULDERCB1-17-NA/1051/BOW020098.jp2&width=5346&height=4210&x=0&y=0&resolution=6&level=0"
"BOW 20-99","10/26/1938","United States Forest Service","1:20,000","20099","http://ucblibraries.colorado.edu/map/aerialphotos.htm","","Larimer","Colorado","Diamond Peak","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mill Creek Spring","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","40 58 50","-105 31 15","36870","","BOW020099.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~36870~103557","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size1/UCBOULDERCB1-17-NA/1051/BOW020099.jpg","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/JP2K/UCBOULDERCB1-17-NA/1051/BOW020099.jp2&width=5490&height=4258&x=0&y=0&resolution=6&level=0"
"BOW 20-100","10/26/1938","United States Forest Service","1:20,000","20100","http://ucblibraries.colorado.edu/map/aerialphotos.htm","Material is believed to be in the public domain. However, other rights and restrictions may apply, such as privacy and publicity rights. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://www.cusys.edu/DigitalLibrary/copyright.html","Larimer","Colorado","Diamond Peak","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Bald Mountain","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","40 59 41","-105 31 11","36874","","BOW020100.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~36874~103558","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size1/UCBOULDERCB1-17-NA/1051/BOW020100.jpg","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/JP2K/UCBOULDERCB1-17-NA/1051/BOW020100.jp2&width=5370&height=4138&x=0&y=0&resolution=6&level=0"
"BOW 20-108","10/26/1938","United States Forest Service","1:20,000","20108","http://ucblibraries.colorado.edu/map/aerialphotos.htm","Material is believed to be in the public domain. However, other rights and restrictions may apply, such as privacy and publicity rights. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://www.cusys.edu/DigitalLibrary/copyright.html","Larimer","Colorado","Diamond Peak","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Diamond Peak","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","40 59 37","-105 32 53","36877","","BOW020108.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~36877~103422","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size1/UCBOULDERCB1-17-NA/1051/BOW020108.jpg","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/JP2K/UCBOULDERCB1-17-NA/1051/BOW020108.jp2&width=5490&height=4282&x=0&y=0&resolution=6&level=0"
"BOW 20-109","10/26/1938","United States Forest Service","1:20,000","20109","http://ucblibraries.colorado.edu/map/aerialphotos.htm","","Larimer","Colorado","Diamond Peak","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Cherokee Park Road","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","40 59 04","-105 32 47","36880","","BOW020109.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~36880~103423","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size1/UCBOULDERCB1-17-NA/1051/BOW020109.jpg","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/JP2K/UCBOULDERCB1-17-NA/1051/BOW020109.jp2&width=5297&height=4064&x=0&y=0&resolution=6&level=0"
"BOW 20-110","10/26/1938","United States Forest Service","1:20,000","20110","http://ucblibraries.colorado.edu/map/aerialphotos.htm","","Larimer","Colorado","Diamond Peak","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Hanse Creek","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","40 58 13","-105 32 50","36883","","BOW020110.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~36883~103424","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size1/UCBOULDERCB1-17-NA/1051/BOW020110.jpg","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/JP2K/UCBOULDERCB1-17-NA/1051/BOW020110.jp2&width=5514&height=4306&x=0&y=0&resolution=6&level=0"
"BOW 20-111","10/26/1938","United States Forest Service","1:20,000","20111","http://ucblibraries.colorado.edu/map/aerialphotos.htm","","Larimer","Colorado","Diamond Peak","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Trail Creek","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","40 57 42","-105 32 41","36887","","BOW020111.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~36887~103425","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size1/UCBOULDERCB1-17-NA/1051/BOW020111.jpg","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/JP2K/UCBOULDERCB1-17-NA/1051/BOW020111.jp2&width=5321&height=4090&x=0&y=0&resolution=6&level=0"
"BOW 20-112","10/26/1938","United States Forest Service","1:20,000","20112","http://ucblibraries.colorado.edu/map/aerialphotos.htm","Material is believed to be in the public domain. However, other rights and restrictions may apply, such as privacy and publicity rights. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://www.cusys.edu/DigitalLibrary/copyright.html","Larimer","Colorado","Diamond Peak","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Hanse Creek","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","40 57 01","-105 32 34","36890","","BOW020112.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~36890~103426","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size1/UCBOULDERCB1-17-NA/1051/BOW020112.jpg","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/JP2K/UCBOULDERCB1-17-NA/1051/BOW020112.jp2&width=5321&height=4090&x=0&y=0&resolution=6&level=0"
"BOW 20-113","10/26/1938","United States Forest Service","1:20,000","20113","http://ucblibraries.colorado.edu/map/aerialphotos.htm","Material is believed to be in the public domain. However, other rights and restrictions may apply, such as privacy and publicity rights. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://www.cusys.edu/DigitalLibrary/copyright.html","Larimer","Colorado","Diamond Peak","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Iron Mountain","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","40 56 15","-105 32 36","36893","","BOW020113.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~36893~103427","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size1/UCBOULDERCB1-17-NA/1051/BOW020113.jpg","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/JP2K/UCBOULDERCB1-17-NA/1051/BOW020113.jp2&width=5321&height=3969&x=0&y=0&resolution=6&level=0"
"BOW 20-114","10/26/1938","United States Forest Service","1:20,000","20114","http://ucblibraries.colorado.edu/map/aerialphotos.htm","","Larimer","Colorado","Diamond Peak","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Devils Creek","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","40 55 30","-105 32 35","36896","","BOW020114.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~36896~103428","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size1/UCBOULDERCB1-17-NA/1051/BOW020114.jpg","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/JP2K/UCBOULDERCB1-17-NA/1051/BOW020114.jp2&width=5442&height=4282&x=0&y=0&resolution=6&level=0"
"BOW 20-115","10/26/1938","United States Forest Service","1:20,000","20115","http://ucblibraries.colorado.edu/map/aerialphotos.htm","Material is believed to be in the public domain. However, other rights and restrictions may apply, such as privacy and publicity rights. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://www.cusys.edu/DigitalLibrary/copyright.html","Larimer","Colorado","Diamond Peak","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Log Draw","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","40 54 38","-105 32 28","36900","","BOW020115.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~36900~103429","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size1/UCBOULDERCB1-17-NA/1051/BOW020115.jpg","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/JP2K/UCBOULDERCB1-17-NA/1051/BOW020115.jp2&width=5490&height=4258&x=0&y=0&resolution=6&level=0"
"BOW 20-116","10/26/1938","United States Forest Service","1:20,000","20116","http://ucblibraries.colorado.edu/map/aerialphotos.htm","","Larimer","Colorado","Diamond Peak","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Log Draw","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","40 53 57","-105 32 44","36903","","BOW020116.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~36903~103430","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size1/UCBOULDERCB1-17-NA/1051/BOW020116.jpg","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/JP2K/UCBOULDERCB1-17-NA/1051/BOW020116.jp2&width=5466&height=4282&x=0&y=0&resolution=6&level=0"
"BOW 20-117","10/26/1938","United States Forest Service","1:20,000","20117","http://ucblibraries.colorado.edu/map/aerialphotos.htm","","Larimer","Colorado","Diamond Peak","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Chicken Park","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","40 53 17","-105 32 31","36907","","BOW020117.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~36907~103431","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size1/UCBOULDERCB1-17-NA/1051/BOW020117.jpg","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/JP2K/UCBOULDERCB1-17-NA/1051/BOW020117.jp2&width=5466&height=4306&x=0&y=0&resolution=6&level=0"
"BOW 2-18","10/22/1938","United States Forest Service","1:20,000","2018","http://ucblibraries.colorado.edu/map/aerialphotos.htm","","Grand","Colorado","Lake Agnes","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Whiteley Peak Reservoir","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","40 19 48","-106 30 43","33432","","BOW002018.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~33432~102595","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size1/UCBOULDERCB1-17-NA/1045/BOW002018.jpg","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/JP2K/UCBOULDERCB1-17-NA/1045/BOW002018.jp2&width=5370&height=4186&x=0&y=0&resolution=6&level=0"
"BOW 2-20","10/22/1938","United States Forest Service","1:20,000","2020","http://ucblibraries.colorado.edu/map/aerialphotos.htm","","Grand","Colorado","Lake Agnes","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Muddy Creek","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","40 18 37","-106 31 06","33437","","bow002020.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~33437~146581","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size1/UCBOULDERCB1~17~17/4486/bow002020.jpg","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/JP2K/UCBOULDERCB1~17~17/4486/bow002020.jp2&width=5498&height=4245&x=0&y=0&resolution=6&level=0"
"BOW 2-22","10/22/1938","United States Forest Service","1:20,000","2022","http://ucblibraries.colorado.edu/map/aerialphotos.htm","","Grand","Colorado","Lake Agnes","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Muddy Creek","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","40 17 12","-106 31 30","33441","","BOW002022.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~33441~102596","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size1/UCBOULDERCB1-17-NA/1045/BOW002022.jpg","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/JP2K/UCBOULDERCB1-17-NA/1045/BOW002022.jp2&width=5394&height=4210&x=0&y=0&resolution=6&level=0"
"BOW 2-24","10/22/1938","United States Forest Service","1:20,000","2024","http://ucblibraries.colorado.edu/map/aerialphotos.htm","","Grand","Colorado","Lake Agnes","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Binco Reservoir","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","40 16 08","-106 32 06","33444","","BOW002024.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~33444~102597","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size1/UCBOULDERCB1-17-NA/1045/BOW002024.jpg","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/JP2K/UCBOULDERCB1-17-NA/1045/BOW002024.jp2&width=5394&height=4210&x=0&y=0&resolution=6&level=0"
"BOW 2-26","10/22/1938","United States Forest Service","1:20,000","2026","http://ucblibraries.colorado.edu/map/aerialphotos.htm","","Grand","Colorado","Tyler Mountain","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Hill Creek","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","40 14 14","-106 31 16","33448","","BOW002026.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~33448~102598","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size1/UCBOULDERCB1-17-NA/1045/BOW002026.jpg","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/JP2K/UCBOULDERCB1-17-NA/1045/BOW002026.jp2&width=5394&height=4210&x=0&y=0&resolution=6&level=0"
"BOW 2-28","10/22/1938","United States Forest Service","1:20,000","2028","http://ucblibraries.colorado.edu/map/aerialphotos.htm","","Grand","Colorado","Tyler Mountain","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Pinto Creek","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","40 12 47","-106 30 57","33453","","BOW002028.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~33453~102599","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size1/UCBOULDERCB1-17-NA/1045/BOW002028.jpg","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/JP2K/UCBOULDERCB1-17-NA/1045/BOW002028.jp2&width=5370&height=4234&x=0&y=0&resolution=6&level=0"
"BOW 2-30","10/22/1938","United States Forest Service","1:20,000","2030","http://ucblibraries.colorado.edu/map/aerialphotos.htm","","Grand","Colorado","Tyler Mountain","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Tyler Mountain","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","40 11 38","-106 30 53","33457","","BOW002030.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~33457~102600","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size1/UCBOULDERCB1-17-NA/1045/BOW002030.jpg","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/JP2K/UCBOULDERCB1-17-NA/1045/BOW002030.jp2&width=5370&height=4186&x=0&y=0&resolution=6&level=0"
"BOW 2-32","10/22/1938","United States Forest Service","1:20,000","2032","http://ucblibraries.colorado.edu/map/aerialphotos.htm","","Grand","Colorado","Tyler Mountain","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Elk Creek","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","40 10 21","-106 31 06","33461","","BOW002032.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~33461~102601","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size1/UCBOULDERCB1-17-NA/1045/BOW002032.jpg","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/JP2K/UCBOULDERCB1-17-NA/1045/BOW002032.jp2&width=5370&height=4162&x=0&y=0&resolution=6&level=0"
"BOW 2-34","10/22/1938","United States Forest Service","1:20,000","2034","http://ucblibraries.colorado.edu/map/aerialphotos.htm","","Grand","Colorado","Tyler Mountain","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Red Dirt Creek","USGS Geographic Names Information System (GNIS)","","","","","","","","","","","","","","","","","","","","","","","","","40 09 16","-106 30 24","33465","","BOW002034.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~17~17~33465~102602","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/Size1/UCBOULDERCB1-17-NA/1045/BOW002034.jpg","https://cudl.colorado.edu/MediaManager/srvr?mediafile=/JP2K/UCBOULDERCB1-17-NA/1045/BOW002034.jp2&width=5370&height=4210&x=0&y=0&resolution=6&level=0"
