Project-Roll-Frame,Date,Publisher,Scale,sortOrder,Physical Item Location,Rights,County#1,State#1,1:24000 USGS Topo Quad Name#1#1,1:24000 USGS Topo Quad Name Authority#1#1,1:24000 USGS Topo Quad Name#1#10,1:24000 USGS Topo Quad Name Authority#1#10,1:24000 USGS Topo Quad Name#1#11,1:24000 USGS Topo Quad Name Authority#1#11,1:24000 USGS Topo Quad Name#1#12,1:24000 USGS Topo Quad Name Authority#1#12,1:24000 USGS Topo Quad Name#1#13,1:24000 USGS Topo Quad Name Authority#1#13,1:24000 USGS Topo Quad Name#1#14,1:24000 USGS Topo Quad Name Authority#1#14,1:24000 USGS Topo Quad Name#1#15,1:24000 USGS Topo Quad Name Authority#1#15,1:24000 USGS Topo Quad Name#1#16,1:24000 USGS Topo Quad Name Authority#1#16,1:24000 USGS Topo Quad Name#1#2,1:24000 USGS Topo Quad Name Authority#1#2,1:24000 USGS Topo Quad Name#1#3,1:24000 USGS Topo Quad Name Authority#1#3,1:24000 USGS Topo Quad Name#1#4,1:24000 USGS Topo Quad Name Authority#1#4,1:24000 USGS Topo Quad Name#1#5,1:24000 USGS Topo Quad Name Authority#1#5,1:24000 USGS Topo Quad Name#1#6,1:24000 USGS Topo Quad Name Authority#1#6,1:24000 USGS Topo Quad Name#1#7,1:24000 USGS Topo Quad Name Authority#1#7,1:24000 USGS Topo Quad Name#1#8,1:24000 USGS Topo Quad Name Authority#1#8,1:24000 USGS Topo Quad Name#1#9,1:24000 USGS Topo Quad Name Authority#1#9,Landmark#1#1,Landmark Authority#1#1,County#2,State#2,1:24000 USGS Topo Quad Name#2#1,1:24000 USGS Topo Quad Name Authority#2#1,1:24000 USGS Topo Quad Name#2#2,1:24000 USGS Topo Quad Name Authority#2#2,1:24000 USGS Topo Quad Name#2#3,1:24000 USGS Topo Quad Name Authority#2#3,1:24000 USGS Topo Quad Name#2#4,1:24000 USGS Topo Quad Name Authority#2#4,Landmark#2#1,Landmark Authority#2#1,County#3,State#3,1:24000 USGS Topo Quad Name#3#1,1:24000 USGS Topo Quad Name Authority#3#1,1:24000 USGS Topo Quad Name#3#2,1:24000 USGS Topo Quad Name Authority#3#2,1:24000 USGS Topo Quad Name#3#3,1:24000 USGS Topo Quad Name Authority#3#3,County#4,State#4,1:24000 USGS Topo Quad Name#4#1,1:24000 USGS Topo Quad Name Authority#4#1,Center Point Latitude#1,Center Point Longitude#1,ln_RECORDID,ln_RECORD_BATCHID,lnexp_MEDIAFILENAME
BOW 30-62,9/27/1946,United States Forest Service,"1:20,000",30062,http://ucblibraries.colorado.edu/map/aerialphotos.htm,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/",Summit,Colorado,Sheephorn Mountain,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,North Fork Deep Creek,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,39 52 49,-106 24 11,38315,,BOW030062.jpg
BOW 30-64,9/27/1946,United States Forest Service,"1:20,000",30064,http://ucblibraries.colorado.edu/map/aerialphotos.htm,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/",Summit,Colorado,Sheephorn Mountain,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spruce Creek,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,39 54 30,-106 24 36,38318,,BOW030064.jpg
BOW 30-66,9/27/1946,United States Forest Service,"1:20,000",30066,http://ucblibraries.colorado.edu/map/aerialphotos.htm,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/",Grand,Colorado,Sheephorn Mountain,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Noonan Ditch,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,39 56 05,-106 24 19,38321,,BOW030066.jpg
BOW 30-68,9/27/1946,United States Forest Service,"1:20,000",30068,http://ucblibraries.colorado.edu/map/aerialphotos.htm,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/",Grand,Colorado,Sheephorn Mountain,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Camp Creek (Sheephorn Mountain topo quad),USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,39 57 29,-106 24 11,38325,,BOW030068.jpg
BOW 3-7,10/22/1938,United States Forest Service,"1:20,000",3007,http://ucblibraries.colorado.edu/map/aerialphotos.htm,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/",Grand,Colorado,Radium,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hartman,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,39 56 58,-106 31 58,33505,,BOW003007.jpg
BOW 30-70,9/27/1946,United States Forest Service,"1:20,000",30070,http://ucblibraries.colorado.edu/map/aerialphotos.htm,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/",Grand,Colorado,Sheephorn Mountain,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beaver Creek,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,39 59 03,-106 24 11,38328,,BOW030070.jpg
BOW 30-72,9/27/1946,United States Forest Service,"1:20,000",30072,http://ucblibraries.colorado.edu/map/aerialphotos.htm,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/",Grand,Colorado,Kremmling,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dry Creek,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,40 00 32,-106 24 08,38331,,BOW030072.jpg
BOW 30-74,9/27/1946,United States Forest Service,"1:20,000",30074,http://ucblibraries.colorado.edu/map/aerialphotos.htm,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/",Grand,Colorado,Kremmling,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Loback Ditch,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,40 02 16,-106 23 59,38334,,BOW030074.jpg
BOW 30-75,9/27/1946,United States Forest Service,"1:20,000",30075,http://ucblibraries.colorado.edu/map/aerialphotos.htm,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/",Grand,Colorado,Kremmling,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kremmling,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,40 03 04,-106 23 54,38338,,BOW030075.jpg
BOW 30-76,9/27/1946,United States Forest Service,"1:20,000",30076,http://ucblibraries.colorado.edu/map/aerialphotos.htm,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/",Grand,Colorado,Parshall,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kitchen Creek,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,40 00 49,-106 08 37,38341,,BOW030076.jpg
BOW 30-78,9/27/1946,United States Forest Service,"1:20,000",30078,http://ucblibraries.colorado.edu/map/aerialphotos.htm,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/",Grand,Colorado,Parshall,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parshall,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,40 02 28,-106 07 57,38344,,BOW030078.jpg
BOW 30-80,9/27/1946,United States Forest Service,"1:20,000",30080,http://ucblibraries.colorado.edu/map/aerialphotos.htm,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/",Grand,Colorado,Hot Sulphur Springs,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hot Sulphur Springs,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,40 04 15,-106 07 21,38347,,BOW030080.jpg
BOW 30-82,9/27/1946,United States Forest Service,"1:20,000",30082,http://ucblibraries.colorado.edu/map/aerialphotos.htm,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/",Grand,Colorado,Hot Sulphur Springs,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ute Bill Creek,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,40 05 51,-106 06 54,38351,,BOW030082.jpg
BOW 30-84,9/27/1946,United States Forest Service,"1:20,000",30084,http://ucblibraries.colorado.edu/map/aerialphotos.htm,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/",Grand,Colorado,Hot Sulphur Springs,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dennis Ditch,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,40 07 25,-106 06 05,38355,,BOW030084.jpg
BOW 30-86,9/27/1946,United States Forest Service,"1:20,000",30086,http://ucblibraries.colorado.edu/map/aerialphotos.htm,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/",Grand,Colorado,Cabin Creek,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elk Mountain,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,40 08 37,-106 06 22,38358,,BOW030086.jpg
BOW 30-88,9/27/1946,United States Forest Service,"1:20,000",30088,http://ucblibraries.colorado.edu/map/aerialphotos.htm,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/",Grand,Colorado,Cabin Creek,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elk Mountain,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,40 09 55,-106 06 46,38361,,BOW030088.jpg
BOW 3-9,10/22/1938,United States Forest Service,"1:20,000",3009,http://ucblibraries.colorado.edu/map/aerialphotos.htm,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/",Grand,Colorado,Radium,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sheephorn Creek,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,39 56 00,-106 31 50,33509,,BOW003009.jpg
BOW 30-90,9/27/1946,United States Forest Service,"1:20,000",30090,http://ucblibraries.colorado.edu/map/aerialphotos.htm,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/",Grand,Colorado,Cabin Creek,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,North Fork Cabin Creek,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,40 11 30,-106 06 32,38364,,BOW030090.jpg
BOW 30-92,9/27/1946,United States Forest Service,"1:20,000",30092,http://ucblibraries.colorado.edu/map/aerialphotos.htm,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/",Grand,Colorado,Cabin Creek,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sawmill Gulch,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,40 13 13,-106 06 08,38367,,BOW030092.jpg
BOW 3-11,10/22/1938,United States Forest Service,"1:20,000",3011,http://ucblibraries.colorado.edu/map/aerialphotos.htm,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/",Eagle,Colorado,Radium,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cottonwood Creek,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,39 55 02,-106 31 41,33513,,BOW003011.jpg
BOW 30-112,9/27/1946,United States Forest Service,"1:20,000",30112,http://ucblibraries.colorado.edu/map/aerialphotos.htm,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/",Gilpin,Colorado,Central City,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arizona Mountain,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,39 50 52,-105 35 40,38370,,BOW030112.jpg
BOW 30-114,9/27/1946,United States Forest Service,"1:20,000",30114,http://ucblibraries.colorado.edu/map/aerialphotos.htm,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/",Gilpin,Colorado,Central City,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elk Creek,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,39 52 17,-105 35 41,38374,,BOW030114.jpg
BOW 30-116,9/27/1946,United States Forest Service,"1:20,000",30116,http://ucblibraries.colorado.edu/map/aerialphotos.htm,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/",Gilpin,Colorado,Nederland,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Baltimore Ridge,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,39 53 37,-105 35 36,38377,,BOW030116.jpg
BOW 30-118,9/27/1946,United States Forest Service,"1:20,000",30118,http://ucblibraries.colorado.edu/map/aerialphotos.htm,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/",Boulder,Colorado,Ward,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Island Lake,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,40 01 16,-105 35 45,38380,,BOW030118.jpg
BOW 30-120,9/27/1946,United States Forest Service,"1:20,000",30120,http://ucblibraries.colorado.edu/map/aerialphotos.htm,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/",Boulder,Colorado,Ward,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Albion, Lake",USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,40 02 40,-105 35 43,38384,,BOW030120.jpg
BOW 30-122,9/27/1946,United States Forest Service,"1:20,000",30122,http://ucblibraries.colorado.edu/map/aerialphotos.htm,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/",Boulder,Colorado,Ward,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Long Lake,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,40 04 04,-105 35 35,38388,,BOW030122.jpg
BOW 30-124,9/27/1946,United States Forest Service,"1:20,000",30124,http://ucblibraries.colorado.edu/map/aerialphotos.htm,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/",Boulder,Colorado,Ward,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mitchell Lake,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,40 05 22,-105 35 26,38392,,BOW030124.jpg
BOW 30-126,9/27/1946,United States Forest Service,"1:20,000",30126,http://ucblibraries.colorado.edu/map/aerialphotos.htm,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/",Boulder,Colorado,Ward,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Buchanan Pass Trail,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,40 06 27,-105 35 19,38396,,BOW030126.jpg
BOW 30-128,9/27/1946,United States Forest Service,"1:20,000",30128,http://ucblibraries.colorado.edu/map/aerialphotos.htm,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/",Boulder,Colorado,Allens Park,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coney Creek,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,40 08 01,-105 35 06,38400,,BOW030128.jpg
BOW 30-129,9/27/1946,United States Forest Service,"1:20,000",30129,http://ucblibraries.colorado.edu/map/aerialphotos.htm,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/",Boulder,Colorado,Allenspark,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Saint Vrain Mountain,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,40 08 50,-105 35 05,38403,,BOW030129.jpg
BOW 3-13,10/22/1938,United States Forest Service,"1:20,000",3013,http://ucblibraries.colorado.edu/map/aerialphotos.htm,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/",Eagle,Colorado,Radium,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cottonwood Creek,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,39 54 19,-106 31 27,33517,,BOW003013.jpg
BOW 30-130,9/27/1946,United States Forest Service,"1:20,000",30130,http://ucblibraries.colorado.edu/map/aerialphotos.htm,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/",Boulder,Colorado,Ward,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cony Lake,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,40 06 58,-105 36 46,38407,,BOW030130.jpg
BOW 30-132,9/27/1946,United States Forest Service,"1:20,000",30132,http://ucblibraries.colorado.edu/map/aerialphotos.htm,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/",Boulder,Colorado,Allens Park,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Red Deer Lake,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,40 08 15,-105 36 36,38411,,BOW030132.jpg
BOW 30-134,9/27/1946,United States Forest Service,"1:20,000",30134,http://ucblibraries.colorado.edu/map/aerialphotos.htm,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/",Boulder,Colorado,Allenspark,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Saint Vrain Mountain,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,40 09 42,-105 36 22,38415,,BOW030134.jpg
BOW 30-136,9/27/1946,United States Forest Service,"1:20,000",30136,http://ucblibraries.colorado.edu/map/aerialphotos.htm,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/",Boulder,Colorado,Allens Park,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Finch Lake,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,40 11 05,-105 36 19,38418,,BOW030136.jpg
BOW 30-138,9/27/1946,United States Forest Service,"1:20,000",30138,http://ucblibraries.colorado.edu/map/aerialphotos.htm,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/",Boulder,Colorado,Allens Park,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sandbeach Lake,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,40 12 30,-105 36 09,38422,,BOW030138.jpg
BOW 30-140,9/27/1946,United States Forest Service,"1:20,000",30140,http://ucblibraries.colorado.edu/map/aerialphotos.htm,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/",Boulder,Colorado,Allens Park,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hunters Creek,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,40 13 51,-105 36 10,38426,,BOW030140.jpg
BOW 30-142,9/27/1946,United States Forest Service,"1:20,000",30142,http://ucblibraries.colorado.edu/map/aerialphotos.htm,"The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/",Boulder,Colorado,Longs Peak,USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Meeker, Mount",USGS Geographic Names Information System (GNIS),,,,,,,,,,,,,,,,,,,,,,,,,40 15 11,-105 35 40,38429,,BOW030142.jpg
